phoneme,file,audio_kind,commons_file,commons_page,author,uploader,licence,licence_url,date
p,u0070.ogg,isolated_phoneme,Voiceless bilabial plosive.ogg,https://commons.wikimedia.org/wiki/File:Voiceless_bilabial_plosive.ogg,Joni~commonswiki,Joni~commonswiki,CC BY-SA 3.0,http://creativecommons.org/licenses/by-sa/3.0/,
b,u0062.ogg,isolated_phoneme,Voiced bilabial plosive.ogg,https://commons.wikimedia.org/wiki/File:Voiced_bilabial_plosive.ogg,Karmosin~commonswiki,Karmosin~commonswiki,CC BY-SA 3.0,http://creativecommons.org/licenses/by-sa/3.0/,
t,u0074.ogg,isolated_phoneme,Voiceless alveolar plosive.ogg,https://commons.wikimedia.org/wiki/File:Voiceless_alveolar_plosive.ogg,Karmosin~commonswiki,Karmosin~commonswiki,CC BY-SA 3.0,http://creativecommons.org/licenses/by-sa/3.0/,
d,u0064.ogg,isolated_phoneme,Voiced alveolar plosive.ogg,https://commons.wikimedia.org/wiki/File:Voiced_alveolar_plosive.ogg,Karmosin~commonswiki,Karmosin~commonswiki,CC BY-SA 3.0,http://creativecommons.org/licenses/by-sa/3.0/,
ʈ,u0288.ogg,isolated_phoneme,Voiceless retroflex stop.oga,https://commons.wikimedia.org/wiki/File:Voiceless_retroflex_stop.oga,Recorded by Peter Isotalo.,Karmosin~commonswiki,CC BY-SA 3.0,http://creativecommons.org/licenses/by-sa/3.0/,
ɖ,u0256.ogg,isolated_phoneme,Voiced retroflex stop.oga,https://commons.wikimedia.org/wiki/File:Voiced_retroflex_stop.oga,Karmosin~commonswiki,Karmosin~commonswiki,CC BY-SA 3.0,http://creativecommons.org/licenses/by-sa/3.0/,
c,u0063.ogg,isolated_phoneme,Voiceless palatal plosive.ogg,https://commons.wikimedia.org/wiki/File:Voiceless_palatal_plosive.ogg,Peter Isotalo,Karmosin~commonswiki,CC BY-SA 3.0,http://creativecommons.org/licenses/by-sa/3.0/,
ɟ,u025f.ogg,isolated_phoneme,Voiced palatal plosive.ogg,https://commons.wikimedia.org/wiki/File:Voiced_palatal_plosive.ogg,Karmosin~commonswiki,Karmosin~commonswiki,CC BY-SA 3.0,http://creativecommons.org/licenses/by-sa/3.0/,
k,u006b.ogg,isolated_phoneme,Voiceless velar plosive.ogg,https://commons.wikimedia.org/wiki/File:Voiceless_velar_plosive.ogg,Karmosin~commonswiki,Karmosin~commonswiki,CC BY-SA 3.0,http://creativecommons.org/licenses/by-sa/3.0/,
ɡ,u0261.ogg,isolated_phoneme,Voiced velar plosive 02.ogg,https://commons.wikimedia.org/wiki/File:Voiced_velar_plosive_02.ogg,BetacommandBot,BetacommandBot,CC BY-SA 3.0,http://creativecommons.org/licenses/by-sa/3.0/,
q,u0071.ogg,isolated_phoneme,Voiceless uvular plosive.ogg,https://commons.wikimedia.org/wiki/File:Voiceless_uvular_plosive.ogg,Karmosin~commonswiki,Karmosin~commonswiki,CC BY-SA 3.0,http://creativecommons.org/licenses/by-sa/3.0/,
ɢ,u0262.ogg,isolated_phoneme,Voiced uvular stop.oga,https://commons.wikimedia.org/wiki/File:Voiced_uvular_stop.oga,Karmosin~commonswiki,Karmosin~commonswiki,CC BY-SA 3.0,http://creativecommons.org/licenses/by-sa/3.0/,
ʔ,u0294.ogg,isolated_phoneme,Glottal stop.ogg,https://commons.wikimedia.org/wiki/File:Glottal_stop.ogg,No machine-readable author provided. Peter Isotalo assumed (based on copyright claims).,Karmosin~commonswiki,CC BY-SA 3.0,http://creativecommons.org/licenses/by-sa/3.0/,17 April 2005 (original upload date)
